S,V,L,HP,HR,IK,Kprime,Sprime,Dprime,Y,constrained
  6.666883E-01,  0.000000E+00,  3.452859E-01,  6.505499E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  5.666851E-01,  0.000000E+00,  3.536883E-01,1
  7.247891E-01,           NaN,  3.459797E-01,  6.530592E-02,  0.000000E+00, -1.500000E-01,  1.843057E-01,  6.160707E-01,  0.000000E+00,  3.543992E-01,0
  7.879532E-01,  0.000000E+00,  3.465996E-01,  6.553063E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  6.697602E-01,  0.000000E+00,  3.550344E-01,1
  8.566220E-01,  0.000000E+00,  3.471551E-01,  6.573239E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  7.281287E-01,  0.000000E+00,  3.556032E-01,1
  9.312752E-01,  0.000000E+00,  3.476486E-01,  6.591210E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  7.915839E-01,  0.000000E+00,  3.561088E-01,1
  1.012434E+00,           NaN,  3.480897E-01,  6.607303E-02,  0.000000E+00,  5.172414E-03,  3.394781E-01,  8.605691E-01,  0.000000E+00,  3.565605E-01,0
  1.100666E+00,  0.000000E+00,  3.484807E-01,  6.621608E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  9.355663E-01,  0.000000E+00,  3.569613E-01,1
  1.196587E+00,  0.000000E+00,  3.488288E-01,  6.634304E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.017099E+00,  0.000000E+00,  3.573175E-01,1
  1.300868E+00,  0.000000E+00,  3.491387E-01,  6.645659E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.105738E+00,  0.000000E+00,  3.576349E-01,1
  1.414237E+00,  0.000000E+00,  3.494129E-01,  6.655732E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.202101E+00,  0.000000E+00,  3.579159E-01,1
  1.537485E+00,  0.000000E+00,  3.496561E-01,  6.664643E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.306862E+00,  0.000000E+00,  3.581649E-01,1
  1.671474E+00,  0.000000E+00,  3.498707E-01,  6.672570E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.420753E+00,  0.000000E+00,  3.583852E-01,1
  1.817140E+00,  0.000000E+00,  3.500638E-01,  6.679634E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.544569E+00,  0.000000E+00,  3.585824E-01,1
  1.975501E+00,  0.000000E+00,  3.502319E-01,  6.685862E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.679176E+00,  0.000000E+00,  3.587550E-01,1
  2.147663E+00,  0.000000E+00,  3.503809E-01,  6.691346E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.825513E+00,  0.000000E+00,  3.589078E-01,1
  2.334828E+00,  0.000000E+00,  3.505144E-01,  6.696233E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  1.984604E+00,  0.000000E+00,  3.590441E-01,1
  2.538304E+00,  0.000000E+00,  3.506312E-01,  6.700585E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  2.157558E+00,  0.000000E+00,  3.591642E-01,1
  2.759513E+00,  0.000000E+00,  3.507350E-01,  6.704399E-02,  0.000000E+00,  0.000000E+00,  3.343057E-01,  2.345586E+00,  0.000000E+00,  3.592703E-01,1
  3.000000E+00,           NaN,  3.508268E-01,  6.707797E-02,  2.931733E-04, -1.500000E-01,  1.843057E-01,  2.550794E+00,  0.000000E+00,  3.593644E-01,0
